0,0,0,0,0,0,0,691075432,56
0,0,0,0,0,0,0,691075942,56
0,0,0,0,0,0,0,691076453,56
0,0,0,0,0,0,0,691076963,56
0,0,0,0,0,0,0,691077473,56
0,0,0,0,0,0,0,691077984,56
0,0,0,0,0,0,0,691078494,56
0,0,0,0,0,0,0,691079006,56
0,0,0,0,0,0,0,691079517,56
0,0,0,0,0,0,0,691080027,56
0,0,0,0,0,0,0,691080537,56
0,0,0,0,0,0,0,691081048,56
0,0,0,0,0,0,0,691081558,56
0,0,0,0,0,0,0,691082070,56
0,0,0,0,0,0,0,691082580,56
0,0,0,0,0,0,0,691083093,56
0,0,0,0,0,0,0,691083603,56
0,0,0,0,0,0,0,691084113,56
0,0,0,0,0,0,0,691084624,56
0,0,0,0,0,0,0,691085134,56
0,0,0,0,0,0,0,691085648,56
0,0,0,0,0,0,0,691086159,56
0,0,0,0,0,0,0,691086669,56
0,0,0,0,0,0,0,691087179,56
0,0,0,0,0,0,0,691087690,56
0,0,0,0,0,0,0,691088200,56
0,0,0,0,0,0,0,691088714,56
0,0,0,0,0,0,0,691089224,56
0,0,0,0,0,0,0,691089736,56
0,0,0,0,0,0,0,691090246,56
0,0,0,0,0,0,0,691090756,56
0,0,0,0,0,0,0,691091267,56
0,0,0,0,0,0,0,691091777,56
0,0,0,0,0,0,0,691092288,56
0,0,0,0,0,0,0,691092798,56
0,0,0,0,0,0,0,691093308,56
0,0,0,0,0,0,0,691093819,56
0,0,0,0,0,0,0,691094329,56
0,0,0,0,0,0,0,691094839,56
0,0,0,0,0,0,0,691095350,56
0,0,0,0,0,0,0,691095860,56
0,0,0,0,0,0,0,691096370,56
0,0,0,0,0,0,0,691096881,56
0,0,0,0,0,0,0,691097391,56
0,0,0,0,0,0,0,691097901,56
0,0,0,0,0,0,0,691098412,56
0,0,0,0,0,0,0,691098922,56
0,0,0,0,0,0,0,691099432,56
0,0,0,0,0,0,0,691099942,56
0,0,0,0,0,0,0,691100453,56
0,0,0,0,0,0,0,691100963,56
0,0,0,0,0,0,0,691101474,56
0,0,0,0,0,0,0,691101984,56
0,0,0,0,0,0,0,691102494,56
0,0,0,0,0,0,0,691103007,56
0,0,0,0,0,0,0,691103517,56
0,0,0,0,0,0,0,691104027,56
0,0,0,0,0,0,0,691104538,56
0,0,0,0,0,0,0,691105048,56
0,0,0,0,0,0,0,691105558,56
0,0,0,0,0,0,0,691106071,56
0,0,0,0,0,0,0,691106581,56
0,0,0,0,0,0,0,691107095,56
0,0,0,0,0,0,0,691107606,56
0,0,0,0,0,0,0,691108116,56
0,0,0,0,0,0,0,691108626,56
0,0,0,0,0,0,0,691109137,56
0,0,0,0,0,0,0,691109651,56
0,0,0,0,0,0,0,691110161,56
0,0,0,0,0,0,0,691110672,56
0,0,0,0,0,0,0,691111182,56
0,0,0,0,0,0,0,691111692,56
0,0,0,0,0,0,0,691112202,56
0,0,0,0,0,0,0,691112717,56
0,0,0,0,0,0,0,691113227,56
0,0,0,0,0,0,0,691113740,56
0,0,0,0,0,0,0,691114250,56
0,0,0,0,0,0,0,691114760,56
0,0,0,0,0,0,0,691115271,56
0,0,0,0,0,0,0,691115781,56
0,0,0,0,0,0,0,691116292,56
0,0,0,0,0,0,0,691116802,56
0,0,0,0,0,0,0,691117312,56
0,0,0,0,0,0,0,691117823,56
0,0,0,0,0,0,0,691118333,56
0,0,0,0,0,0,0,691118843,56
0,0,0,0,0,0,0,691119354,56
0,0,0,0,0,0,0,691119864,56
0,0,0,0,0,0,0,691120375,56
0,0,0,0,0,0,0,691120885,56
0,0,0,0,0,0,0,691121395,56
0,0,0,0,0,0,0,691121906,56
0,0,0,0,0,0,0,691122416,56
0,0,0,0,0,0,0,691122926,56
0,0,0,0,0,0,0,691123437,56
0,0,0,0,0,0,0,691123947,56
0,0,0,0,0,0,0,691124457,56
0,0,0,0,0,0,0,691124968,56
0,0,0,0,0,0,0,691125478,56
0,0,0,0,0,0,0,691125988,56
0,0,0,0,0,0,0,691126501,56
0,0,0,0,0,0,0,691127011,56
0,0,0,0,0,0,0,691127521,56
0,0,0,0,0,0,0,691128032,56
0,0,0,0,0,0,0,691128542,56
0,0,0,0,0,0,0,691129052,56
0,0,0,0,0,0,0,691129563,56
0,0,0,0,0,0,0,691130075,56
0,0,0,0,0,0,0,691130585,56
0,0,0,0,0,0,0,691131099,56
0,0,0,0,0,0,0,691131610,56
0,0,0,0,0,0,0,691132120,56
0,0,0,0,0,0,0,691132630,56
0,0,0,0,0,0,0,691133141,56
0,0,0,0,0,0,0,691133655,56
0,0,0,0,0,0,0,691134165,56
0,0,0,0,0,0,0,691134676,56
0,0,0,0,0,0,0,691135186,56
0,0,0,0,0,0,0,691135697,56
0,0,0,0,0,0,0,691136207,56
0,0,0,0,0,0,0,691136721,56
0,0,0,0,0,0,0,691137232,56
0,0,0,0,0,0,0,691137744,56
0,0,0,0,0,0,0,691138254,56
0,0,0,0,0,0,0,691138764,56
0,0,0,0,0,0,0,691139275,56
0,0,0,0,0,0,0,691139785,56
0,0,0,0,0,0,0,691140296,56
0,0,0,0,0,0,0,691140806,56
0,0,0,0,0,0,0,691141316,56
