677232,-0.40,-0.28,9.31,
712972,-0.39,-0.25,9.31,
785868,-0.42,-0.26,9.33,
811168,-0.40,-0.26,9.35,
886524,-0.40,-0.27,9.31,
935456,-0.39,-0.27,9.30,
960828,-0.40,-0.27,9.32,
1036144,-0.37,-0.27,9.36,
1085308,-0.39,-0.24,9.32,
1110680,-0.40,-0.26,9.33,
1186136,-0.38,-0.27,9.36,
1235332,-0.40,-0.26,9.35,
1260772,-0.39,-0.25,9.34,
1336264,-0.38,-0.26,9.33,
1385560,-0.40,-0.28,9.33,
1410980,-0.37,-0.26,9.33,
1486764,-0.39,-0.26,9.35,
1536240,-0.40,-0.27,9.33,
1561632,-0.42,-0.26,9.36,
1637524,-0.38,-0.25,9.32,
1691764,-0.39,-0.26,9.33,
1766364,-0.40,-0.27,9.35,
1790688,-0.41,-0.26,9.32,
1839000,-0.40,-0.26,9.33,
1913936,-0.40,-0.28,9.35,
1938320,-0.38,-0.26,9.32,
1986780,-0.38,-0.26,9.35,
2044040,-0.40,-0.26,9.34,
2067016,-0.38,-0.25,9.36,
2140848,-0.39,-0.28,9.32,
2165188,-0.40,-0.27,9.35,
2240236,-0.40,-0.26,9.33,
2264028,-0.40,-0.25,9.32,
2287116,-0.39,-0.26,9.33,
2310804,-0.40,-0.28,9.34,
2334108,-0.41,-0.26,9.32,
2382604,-0.40,-0.26,9.33,
2407004,-0.38,-0.25,9.34,
2429392,-0.40,-0.27,9.34,
2457196,-0.41,-0.28,9.34,
2480300,-0.37,-0.27,9.32,
2503724,-0.37,-0.26,9.34,
2526780,-0.37,-0.24,9.34,
2550144,-0.38,-0.28,9.33,
2573196,-0.38,-0.26,9.33,
2632604,-0.39,-0.25,9.32,
2655668,-0.42,-0.27,9.32,
2679016,-0.39,-0.28,9.36,
2701976,-0.41,-0.27,9.36,
2725352,-0.41,-0.27,9.33,
2748476,-0.40,-0.28,9.31,
2805700,-0.39,-0.25,9.35,
2828740,-0.41,-0.26,9.33,
2877280,-0.38,-0.26,9.35,
2901644,-0.40,-0.27,9.37,
2923936,-0.41,-0.27,9.33,
2948304,-0.42,-0.24,9.33,
2970588,-0.41,-0.27,9.30,
2998472,-0.40,-0.26,9.34,
3021588,-0.40,-0.24,9.34,
3044832,-0.40,-0.26,9.33,
3067980,-0.41,-0.27,9.32,
3091232,-0.40,-0.25,9.31,
3114364,-0.39,-0.27,9.31,
3137804,-0.37,-0.26,9.34,
3160944,-0.40,-0.27,9.33,
3184516,-0.41,-0.26,9.35,
3207644,-0.40,-0.26,9.36,
3254124,-0.40,-0.27,9.33,
3277092,-0.40,-0.25,9.30,
3300572,-0.39,-0.25,9.35,
3323772,-0.38,-0.24,9.33,
3367384,-0.40,-0.25,9.32,
3390436,-0.40,-0.26,9.36,
3413656,-0.40,-0.26,9.35,
3436636,-0.41,-0.25,9.32,
3459832,-0.39,-0.26,9.36,
3487612,-0.42,-0.27,9.33,
3509504,-0.41,-0.24,9.34,
3533884,-0.40,-0.25,9.35,
3555728,-0.41,-0.25,9.38,
3580092,-0.40,-0.26,9.35,
3602064,-0.40,-0.26,9.35,
3626484,-0.41,-0.28,9.31,
3648284,-0.42,-0.25,9.32,
3672728,-0.40,-0.27,9.34,
3694496,-0.39,-0.28,9.31,
3718960,-0.39,-0.27,9.33,
3740800,-0.37,-0.27,9.33,
